# Third Pass Delete Terms
Generated: 2026-04-23
Source: docs/remaining-quality-risk-terms.txt
Purpose: Additional high-confidence removals after scanning the remaining catalog for generic drift, slang, duplicate debt, and asset encyclopedia noise.
Term count: 90
Format: id | category | slug | term_en | reason
term_500 | Technology | quantum-computing | Quantum Computing | Broad generic software glossary drift
term_672 | Technology | virtual-assistant | Virtual Assistant | Broad generic software glossary drift
term_707 | Technology | version-control | Version Control | Broad generic software glossary drift
term_708 | Technology | git | Git | Broad generic software glossary drift
term_709 | Technology | github | GitHub | Broad generic software glossary drift
term_730 | Technology | html | HTML | Broad generic software glossary drift
term_731 | Technology | css | CSS | Broad generic software glossary drift
term_732 | Technology | javascript | JavaScript | Broad generic software glossary drift
term_734 | Technology | python | Python | Broad generic software glossary drift
term_735 | Technology | java | Java | Broad generic software glossary drift
term_738 | Technology | kotlin | Kotlin | Broad generic software glossary drift
term_739 | Technology | rust | Rust | Broad generic software glossary drift
term_740 | Technology | go | Go | Broad generic software glossary drift
term_741 | Technology | php | PHP | Broad generic software glossary drift
term_742 | Technology | ruby | Ruby | Broad generic software glossary drift
term_746 | Technology | terminal | Terminal | Broad generic software glossary drift
term_747 | Technology | cli | CLI | Broad generic software glossary drift
term_748 | Technology | gui | GUI | Broad generic software glossary drift
term_755 | Technology | wireframe | Wireframe | Broad generic software glossary drift
term_756 | Technology | prototype | Prototype | Broad generic software glossary drift
term_300 | Finance | universal-basic-income | Universal Basic Income | Broad economics scope drift
term_301 | Finance | gig-economy | Gig Economy | Broad economics scope drift
term_1366 | Finance | helicopter-money | Helicopter Money | Broad economics scope drift
term_1383 | Finance | quota | Quota | Broad economics scope drift
term_1385 | Finance | substitute-good | Substitute Good | Broad economics scope drift
term_1386 | Finance | complementary-good | Complementary Good | Broad economics scope drift
term_1387 | Finance | normal-good | Normal Good | Broad economics scope drift
term_1388 | Finance | inferior-good | Inferior Good | Broad economics scope drift
term_1389 | Finance | veblen-good | Veblen Good | Broad economics scope drift
term_1390 | Finance | giffen-good | Giffen Good | Broad economics scope drift
term_1412 | Finance | black-market | Black Market | Broad economics scope drift
term_1413 | Finance | grey-market | Grey Market | Broad economics scope drift
