# Second Pass Delete Terms
Generated: 2026-04-23
Source: docs/review-before-deletion-terms.txt
Purpose: Remaining review terms that should now be deleted after reading the actual definitions one by one.
Term count: 40
Format: id | category | slug | term_en | definition_en | example_sentence_en | decision_reason
term_4056 | Technology | pwa | PWA | Progressive Web App; web app behaving like mobile app. | Install the PWA on your phone. | Web uygulama delivery terimi; FinTechTerms çekirdek ontolojisine zayıf bağlı.
term_821 | Technology | queue | Queue | FIFO data structure. | Join the queue. | Temel veri yapısı; alan odaklı değil.
term_1188 | Technology | reverse-proxy | Reverse Proxy | Server sitting in front of web servers. | Nginx is a reverse proxy. | Web ops mimari detayı; sözlüğün odağını zayıflatıyor.
term_1159 | Technology | set | Set | Collection of unique items. | Set allows no duplicates. | Aşırı temel programlama koleksiyonu kavramı.
term_4057 | Technology | spa | SPA | Single Page Application. | React creates SPAs. | Genel frontend mimarisi terimi; finans/fintech sözlüğü için düşük öncelik.
term_4051 | Technology | spark | Spark | Engine for large-scale data processing. | Spark is faster than Hadoop. | Genel data-engineering aracı; mevcut tanım ve örnek fazla yüzeysel.
term_4058 | Technology | ssr | SSR | Server-Side Rendering. | SSR improves SEO. | Genel web rendering terimi; teknoloji kategorisini gereksiz genişletiyor.
term_820 | Technology | stack | Stack | LIFO data structure. | Push to stack. | Temel veri yapısı; fintech bilgi mimarisine düşük katkı.
term_1162 | Technology | tcp | TCP | Transmission Control Protocol. | TCP guarantees delivery. | Temel network protokolü; fintech kavram envanterine zayıf bağlı.
term_822 | Technology | tree | Tree | Hierarchical data structure. | Binary search tree. | Genel veri yapısı; domain değeri düşük.
term_1157 | Technology | trie | Trie | Prefix tree. | Trie is used for autocomplete. | Genel algoritmik veri yapısı; fintech glossary için gereksiz detay.
term_1163 | Technology | udp | UDP | User Datagram Protocol. | UDP is faster but unreliable. | Temel network protokolü; glossary odağı için fazla teknik.
term_1158 | Technology | vector | Vector | Dynamic array. | Vectors resize automatically. | Genel programlama terimi; kavramsal derinlik düşük.
term_1184 | Technology | virtual-machine | Virtual Machine | Emulated computer. | Run Windows in a VM. | Genel sanallaştırma terimi; fintech kullanıcı değeri sınırlı.
